AnthroposophyMedMed,AnthroposophyMedTherapy,Autohaemotherapy,Ayurveda,BMI,Baden_Württemberg,Bayern,Berlin,Brandenburg,Bremen,Cancer_screening,Chelattherapie,Child_UG,Doc_search,EmerencyService_Abroad,Feldenkrais,GKVname,Generika,Hamburg,Health_checkUp,Hessen,HomoeopathyMed,HomoeopathyTherapy,Irisdiagnostic,Lighttherapy,MVP,NRW,Niedersachsen,Osteopathy,Physiotherapy,Premium_rate,Replexmassage,Rheinland_Pfalz,Saarland,Sachsen,Sachsen_Anhalt,Schleswig_Holtstein,Shiatsu,TCM,Thüringen,Travel_vacc,Vaccine,adjuvant,alter_cancerMed,alter_cancerTherapy,appointment_help,careReminderService,gym,hospital_search,medical_phoneInfo,non_smoker,online_branch,pharmacy,prevention,reciept_online,reha_search,service_hotline,skinCancer,sport_club,sport_ensigh,teeth_clean,yearly_dentist
Nein,Nein,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",nein,False,False,False,False,False,nein,Nein,nein,ja,nein,"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",BERGISCHE KRANKENKASSE,ja,True,nein,False,Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",False,True,False,"Ja, max. 100,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,"15,99% ","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",False,False,False,False,False,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",Keiner.,nein,Nein,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",nein,nein,nein,ja,nein,nein,nein,nein,nein,nein,ja,Das Service-Telefon der BERGISCHE KRANKENKASSE unter 0212-2262-0 ist wie folgt erreichbar:,nein,nein,nein,nein,nein
"Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,nein,ja,ja,Nein,Novitas BKK,nein,True,ja,True,"Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,95% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 200,00 EUR.",,nein,Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",ja,ja,ja,ja,"ja, die medizinische Infohotline der Novitas BKK ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der Novitas BKK unter 0800-6648233 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
keine Angabe,keine Angabe,keine Angabe,keine Angabe,nein,False,False,False,False,True,ja,keine Angabe,ja,ja,nein,keine Angabe,IKK Nord,nein,True,nein,False,keine Angabe,keine Angabe,keine Angabe,keine Angabe,True,False,True,"Nein, aber Bezuschussung im Rahmen eines",keine Angabe,"15,90% ",keine Angabe,False,False,False,False,True,keine Angabe,keine Angabe,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 90,00% aber maximal 300,00 EUR.",,keine Angabe,keine Angabe,keine Angabe,ja,ja,nein,ja,nein,nein,nein,ja,ja,nein,ja,Das Service-Telefon der IKK Nord unter 0800 4557378 ist wie folgt erreichbar:,ja,nein,ja,nein,nein
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,nein,Nein,BKK VBU,ja,True,nein,True,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",keine Angabe,Nein,True,True,True,"Ja, max. 80,00 % und max. 360,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,90% ",keine Angabe,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",ja,ja,ja,ja,"ja, die medizinische Infohotline der BKK VBU ist durchschnittlich 12 Stunden an 5 Tagen die Woche erreichbar",ja,nein,ja,ja,nein,ja,Das Service-Telefon der BKK VBU unter 0800 165 66 16 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,ja
"Ja, max. 100,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,True,True,False,False,False,ja,Nein,ja,ja,nein,Nein,BKK Technoform,nein,False,nein,False,"Ja, max. 100,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,False,False,True,"Ja, max. 90,00 % und max. 480,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,90% ",Nein,True,False,False,False,False,Nein,Nein,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,nein,ja,ja,ja,"ja, die medizinische Infohotline der BKK Technoform ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,nein,ja,ja,nein,ja,Das Service-Telefon der BKK Technoform unter 0551 308-3391 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
Nein,"Ja, max. 100,00 % und max. 5.860,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,SBK,nein,True,ja,True,Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",True,True,True,"Ja, max. 100,00 % und max. 180,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"15,90% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 70,00%.",,ja,Nein,"Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",ja,ja,ja,ja,"ja, die medizinische Infohotline der SBK ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der SBK unter 0800-07257257007 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,nein,nein
Nein,Nein,Nein,Nein,ja,True,True,True,True,True,nein,Nein,nein,nein,ja,Nein,Die Schwenninger Krankenkasse,ja,True,nein,True,Nein,"Ja, max. 100,00 % und max. 173,00 EUR p.a. bei bestimmten Leistungserbringern, nur regional für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 100,00 % und max. 200,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder bis zum 14. Lebensjahr)",Nein,"15,90% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,ja,Nein,Nein,nein,ja,nein,nein,"ja, die medizinische Infohotline der Die Schwenninger Krankenkasse ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der Die Schwenninger Krankenkasse unter 0800 3755 3755 5 ist wie folgt erreichbar:,ja,nein,ja,nein,ja
"Ja, max. 100,00 % und max. 500,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",nein,True,True,True,True,True,nein,Nein,ja,ja,nein,"Nein, aber Bezuschussung im Rahmen eines",BKK ProVita,nein,True,nein,True,"Ja, max. 100,00 % und max. 500,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"Nein, aber Bezuschussung im Rahmen eines",True,True,True,"Ja, max. 80,00 % und max. 500,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 500,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","15,90% ",Nein,True,True,True,True,True,Nein,"Nein, aber Bezuschussung im Rahmen eines",True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 90,00%.",,nein,"Ja, max. 100,00 % und max. 500,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der BKK ProVita ist durchschnittlich 10 Stunden an 5 Tagen die Woche erreichbar",ja,nein,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, J1",ja,nein,ja,Das Service-Telefon der BKK ProVita unter 0800 6648808 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",Nein,Nein,nein,False,False,False,False,False,ja,Nein,ja,ja,nein,Nein,BKK VDN,ja,True,ja,False,"Nein, aber Bezuschussung im Rahmen eines","Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,False,True,False,"Ja, max. 80,00 % und max. 240,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Nein, aber Bezuschussung im Rahmen eines","15,90% ","Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder bis 6 Jahre)",False,False,True,False,False,"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder bis 6 Jahre)","Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder bis 6 Jahre)",False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 80,00%.",,ja,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der BKK VDN ist durchschnittlich 12 Stunden an 5 Tagen die Woche erreichbar",ja,ja,"nein, bonifiziert werden aber U7, U8, U9, U10, U11, J1, J2",ja,nein,ja,Das Service-Telefon der BKK VDN unter 02304 9826-0 ist wie folgt erreichbar:,ja,ja,ja,nein,ja
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,True,True,True,True,True,ja,"Nein, aber Bezuschussung im Rahmen eines",ja,ja,ja,"Nein, aber Bezuschussung im Rahmen eines",BKK RWE,nein,True,nein,True,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,True,True,"Ja, max. 100,00 % und max. 60,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,90% ","Nein, aber Bezuschussung im Rahmen eines",True,True,True,True,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,"Ja, welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,ja,ja,ja,"ja, die medizinische Infohotline der BKK RWE ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,nein,ja,ja,ja,ja,Das Service-Telefon der BKK RWE unter 0800-8010040 ist wie folgt erreichbar:,ja,ja,ja,nein,nein
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder und Jugendliche im Alter zwischen 12 und 17 Jahren) im Rahmen eines","Ja, max. 80,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,"Ja, max. 80,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",ja,True,True,True,True,True,ja,Nein,nein,ja,nein,"Ja, max. 80,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",KNAPPSCHAFT,nein,True,ja,True,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder und Jugendliche im Alter zwischen 12 und 17 Jahren) im Rahmen eines","Ja, max. 100,00 % und max. 360,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 80,00 % und max. 150,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für bestimmte Personen (Kinder und Jugendliche im Alter zwischen 12 und 17 Jahren) im Rahmen eines","15,90% ",Nein,True,True,True,True,True,"Ja, max. 80,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 80,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der KNAPPSCHAFT ist durchschnittlich 12 Stunden an 5 Tagen die Woche erreichbar",ja,ja,ja,ja,ja,ja,Das Service-Telefon der KNAPPSCHAFT unter 0800-7245 900 ist wie folgt erreichbar:,ja,ja,ja,nein,nein
Nein,Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,Continentale Betriebskrankenkasse,nein,True,ja,True,Nein,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 80,00 % und max. 360,00 EUR p.a. bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"15,90% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,keine Angabe,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der Continentale Betriebskrankenkasse ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,nein,ja,ja,nein,ja,Das Service-Telefon der Continentale Betriebskrankenkasse unter 0800 6 262626 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
Nein,Nein,Nein,Nein,ja,False,False,False,False,False,ja,Nein,ja,ja,nein,Nein,BKK MTU,nein,False,ja,False,Nein,Nein,Nein,Nein,False,False,False,"Ja, max. 100,00 % und max. 240,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"15,90% ",Nein,False,False,False,False,False,Nein,Nein,False,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 80,00 EUR. Übernahme im Rahmen eines",,nein,Nein,Nein,ja,ja,ja,ja,nein,ja,nein,"nein, bonifiziert werden aber U10, U11, J1, J2",nein,ja,ja,Das Service-Telefon der BKK MTU unter 07541 90-7100 ist wie folgt erreichbar:,ja,ja,ja,ja,ja
Nein,Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,ja,Nein,pronova BKK,ja,True,ja,True,Nein,"Ja, max. 100,00 % bei bestimmten Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,True,True,True,"Ja, max. 100,00 % und max. 160,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,"15,80% ",Nein,True,True,True,True,True,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,ja,Nein,Nein,ja,ja,ja,ja,"ja, die medizinische Infohotline der pronova BKK ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,ja,ja,Das Service-Telefon der pronova BKK unter 0441 925138-4949 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,ja,nein
"Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 8,31 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",ja,True,True,True,True,True,ja,"Nein, aber Bezuschussung im Rahmen eines",ja,ja,ja,"Nein, aber Bezuschussung im Rahmen eines",BKK GILDEMEISTER SEIDENSTICKER,nein,True,ja,True,"Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,True,True,"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 50,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,80% ","Nein, aber Bezuschussung im Rahmen eines",True,True,True,True,True,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00% aber maximal 100,00 EUR. Übernahme im Rahmen eines",,nein,"Nein, aber Bezuschussung im Rahmen eines","Nein, aber Bezuschussung im Rahmen eines",nein,ja,ja,ja,"ja, die medizinische Infohotline der BKK GILDEMEISTER SEIDENSTICKER ist durchschnittlich 24 Stunden an 7 Tagen die Woche erreichbar",ja,ja,ja,ja,nein,ja,Das Service-Telefon der BKK GILDEMEISTER SEIDENSTICKER unter 0800 0 255 255 ist 24 Stunden an 7 Tagen die Woche erreichbar.,ja,ja,ja,nein,nein
"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,False,False,False,False,True,ja,Nein,ja,ja,nein,Nein,atlas BKK ahlmann,nein,True,nein,False,"Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,False,True,True,"Ja, max. 80,00 % und max. 390,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 120,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,80% ",Nein,False,False,False,False,True,Nein,Nein,False,"Ja, welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,nein,ja,ja,ja,nein,ja,nein,ja,ja,nein,ja,Das Service-Telefon der atlas BKK ahlmann unter 0800 0435510 ist wie folgt erreichbar:,ja,ja,ja,nein,ja
"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines",Nein,Nein,Nein,ja,True,True,True,True,True,ja,Nein,ja,ja,nein,Nein,BKK ZF & Partner,nein,True,ja,True,"Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten",Nein,Nein,False,True,True,"Ja, max. 80,00 % und max. 360,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten","Ja, max. 100,00 % und max. 100,00 EUR p.a. bei allen Leistungserbringern im gesamten Versorgungsgebiet für alle Versicherten im Rahmen eines","15,80% ",Nein,True,True,True,True,False,Nein,Nein,True,"Ja, für alle Empfehlungen der Ständigen Impfkommission (STIKO) beim Robert-Koch-Institut (RKI) in Verbindung mit den Reisehinweisen des Auswärtigen Amtes. Welche dies sind, erfragen Sie bitte direkt bei der Kasse.  Übernahme des Impfstoffs zu 100,00%.",,nein,Nein,Nein,nein,ja,ja,ja,nein,ja,nein,"nein, bonifiziert werden aber U1, U2, U3, U4, U5, U6, U7, U8, U9, J1",ja,nein,ja,Das Service-Telefon der BKK ZF & Partner unter 07541 3908-1171 ist wie folgt erreichbar:,ja,ja,ja,nein,ja
